REPORT_ID,EXPENSE_TYPE,TRANSACTION_DATE,EMPLOYEE_ID,EMPLOYEE_NAME,DEPARTMENT,COST_CENTER,JOB_TITLE,HOME_CITY,TRIP_PURPOSE,PAYMENT_METHOD,ORIGIN_IATA,DESTINATION_IATA,ORIGIN_CITY,DESTINATION_CITY,DISTANCE_KM,AIRLINE_CODE,AIRLINE_NAME,FLIGHT_NUMBER,CABIN_CLASS,HOTEL_NAME,HOTEL_CITY,CHECK_IN_DATE,CHECK_OUT_DATE,GROUND_TRANSPORT_TYPE,AMOUNT,CURRENCY,REIMBURSABLE,POLICY_COMPLIANT,POLICY_EXCEPTION_REASON,EMISSION_FACTOR_KGCO2E_PER_KM_OR_NIGHT,ESTIMATED_EMISSIONS_KGCO2E,APPROVAL_STATUS,RECEIPT_ATTACHED,NOTES
RPT-010011,Air Travel,03-07-2023,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Board Meeting,Personal Card,DEL,CCU,Delhi,Kolkata,1305,6E,IndiGo,6E965,First,,,,,,68987.95,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,665.55,Pending,Yes,
RPT-010012,Air Travel,13-04-2023,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Training,Personal Card,DEL,MAA,Delhi,Chennai,2182,AI,IndiGo,AI637,First,,,,,,71296.42,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,1112.82,Approved,Yes,
RPT-010013,Hotel,29-02-2024,EMP-0141,Sanjay Gupta,Strategy,CC-STR-001,CEO,Mumbai,Audit,Corporate Card,,,,,,,,,,Hyatt Place,Ahmedabad,29-02-2024,03-03-2024,,29929.74,INR,Yes,Yes,,20.5,61.5,Approved,Yes,
RPT-010014,Hotel,04-06-2023,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Client Meeting,Corporate Card,,,,,,,,,,Ibis,Kolkata,04-06-2023,05-06-2023,,5652.32,INR,Yes,Yes,,20.5,20.5,Approved,Yes,
RPT-010015,Air Travel,06-09-2024,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Conference,Personal Card,DEL,SIN,Delhi,Singapore,4101,SQ,Singapore Airlines,SQ407,Economy,,,,,,61804.05,INR,Yes,Yes,,0.195,1599.39,Approved,No,
RPT-010016,Hotel,07-11-2024,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Client Meeting,Corporate Card,,,,,,,,,,Marriott Whitefield,Bangalore,07-11-2024,12-11-2024,,64456.65,INR,Yes,Yes,,20.5,102.5,Pending,Yes,
RPT-010017,Air Travel,30-03-2024,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Client Meeting,Corporate Card,BOM,HKG,Mumbai,Hong Kong,4261,CX,Cathay Pacific,CX784,Economy,,,,,,71419.46,INR,Yes,Yes,,0.195,1661.79,Approved,No,
RPT-010018,Hotel,31-07-2024,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Board Meeting,Cash,,,,,,,,,,Ibis Tokyo Shinjuku,Tokyo,31-07-2024,05-08-2024,,993.12,EUR,Yes,Yes,,20.5,102.5,Approved,Yes,
RPT-010019,Hotel,28-07-2023,EMP-0067,Sunita Reddy,HR,CC-HR-001,Director HR,Hyderabad,Board Meeting,Cash,,,,,,,,,,Lemon Tree,Ahmedabad,28-07-2023,01-08-2023,,24734.08,INR,Yes,Yes,,20.5,82,Pending,Yes,
RPT-010020,Ground - Train/Metro,04-10-2024,EMP-0067,Sunita Reddy,HR,CC-HR-001,Director HR,Hyderabad,Audit,Corporate Card,,,,,,,,,,,,,,Train/Metro,1692.31,INR,Yes,Yes,,0.17,40.63,Approved,Yes,
RPT-010021,Hotel,02-10-2023,EMP-0067,Sunita Reddy,HR,CC-HR-001,Director HR,Hyderabad,Site Visit,Corporate Card,,,,,,,,,,Hyatt Place,Ahmedabad,02-10-2023,06-10-2023,,35168.88,INR,Yes,Yes,,20.5,82,Approved,Yes,
RPT-010022,Ground - Uber/Ola,17-09-2023,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Internal Meeting,Corporate Card,,,,,,,,,,,,,,Uber/Ola,7725.89,INR,Yes,Yes,,,,Rejected,Yes,
RPT-010023,Hotel,01-07-2024,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Board Meeting,Corporate Card,,,,,,,,,,Novotel Ahmedabad,Ahmedabad,01-07-2024,06-07-2024,,49070.95,INR,Yes,Yes,,20.5,102.5,Pending,Yes,
RPT-010024,Air Travel,10-02-2024,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Board Meeting,Corporate Card,MAA,BLR,Chennai,Bangalore,,AI,IndiGo,AI549,Economy,,,,,,14479.18,INR,Yes,Yes,,,,Approved,Yes,
RPT-010025,Hotel,11-12-2024,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Internal Meeting,Corporate Card,,,,,,,,,,The Westin,Chennai,11-12-2024,12-12-2024,,14828.97,INR,Yes,Yes,,20.5,20.5,Approved,Yes,
RPT-010026,Hotel,21-05-2023,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Conference,Corporate Card,,,,,,,,,,The Lalit,Kolkata,21-05-2023,22-05-2023,,11700.55,INR,Yes,Yes,,20.5,20.5,Approved,Yes,
RPT-010027,Ground - Bus,04-10-2023,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Conference,Corporate Card,,,,,,,,,,,,,,Bus,4176.02,INR,Yes,Yes,,0.17,12.07,Approved,No,
RPT-010028,Air Travel,06-09-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Project Review,Corporate Card,BOM,PNQ,Mumbai,Pune,,AI,IndiGo,AI578,Economy,,,,,,5370.97,INR,Yes,Yes,,,,Rejected,Yes,
RPT-010029,Air Travel,03-04-2023,EMP-0141,Sanjay Gupta,Strategy,CC-STR-001,CEO,Mumbai,Tender Submission,Personal Card,DEL,NRT,Delhi,Tokyo,5846,NH,ANA,NH673,Economy,,,,,,66693.06,INR,Yes,Yes,,0.195,1139.97,Rejected,Yes,
RPT-010030,Air Travel,09-01-2024,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Client Meeting,Corporate Card,DEL,CCU,Delhi,Kolkata,1305,6E,IndiGo,6.00E+217,Economy,,,,,,11803.53,INR,Yes,Yes,,0.255,665.55,Rejected,Yes,
RPT-010031,Ground - Auto Rickshaw,11-02-2024,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Project Review,Corporate Card,,,,,,,,,,,,,,Auto Rickshaw,2414.37,INR,Yes,Yes,,0.149,1.79,Approved,Yes,
RPT-010032,Air Travel,11-10-2023,EMP-0180,Ananya Banerjee,Operations,CC-OPS-001,AGM,Kolkata,Project Review,Personal Card,BOM,PNQ,Mumbai,Pune,,AI,IndiGo,AI892,Economy,,,,,,19929.22,INR,Yes,Yes,,,,Approved,Yes,
RPT-010033,Hotel,09-02-2023,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Internal Meeting,Corporate Card,,,,,,,,,,ITC Gardenia,Bangalore,09-02-2023,11-02-2023,,38183.06,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,41,Approved,Yes,
RPT-010034,Hotel,14-05-2023,EMP-0067,Sunita Reddy,HR,CC-HR-001,Director HR,Hyderabad,Project Review,Cash,,,,,,,,,,Marriott Whitefield,Bangalore,14-05-2023,16-05-2023,,30737.16,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,41,Rejected,No,
RPT-010035,Air Travel,20-02-2023,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Client Meeting,Personal Card,DEL,CCU,Delhi,Kolkata,1305,6E,IndiGo,6E658,Business,,,,,,45336.58,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,665.55,Approved,No,
RPT-010036,Air Travel,08-05-2024,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Training,Corporate Card,BOM,DXB,Mumbai,Dubai,1935,EK,Emirates,EK634,Business,,,,,,397278.44,EUR,Yes,Yes,,0.585,2263.95,Approved,Yes,
RPT-010037,Air Travel,08-11-2023,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Site Visit,Corporate Card,BOM,BLR,Mumbai,Bangalore,,6E,SpiceJet,6E595,First,,,,,,80197.82,INR,Yes,No,Domestic business/first not permitted without VP approval,,,Approved,Yes,
RPT-010038,Ground - Bus,11-01-2025,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Client Meeting,Corporate Card,,,,,,,,,,,,,,Bus,1210.06,INR,Yes,Yes,,0.17,37.74,Approved,Yes,
RPT-010039,Air Travel,28-12-2023,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Site Visit,Corporate Card,BOM,HYD,Mumbai,Hyderabad,,AI,IndiGo,AI893,Business,,,,,,31303.5,INR,Yes,No,Domestic business/first not permitted without VP approval,,,Rejected,No,
RPT-010040,Air Travel,04-09-2024,EMP-0141,Sanjay Gupta,Strategy,CC-STR-001,CEO,Mumbai,Audit,Corporate Card,MAA,BLR,Chennai,Bangalore,,AI,IndiGo,AI607,Economy,,,,,,17065.98,INR,Yes,Yes,,,,Approved,Yes,
RPT-010041,Hotel,26-12-2023,EMP-0180,Ananya Banerjee,Operations,CC-OPS-001,AGM,Kolkata,Tender Submission,Corporate Card,,,,,,,,,,Marriott Whitefield,Bangalore,26-12-2023,27-12-2023,,14283.95,INR,Yes,Yes,,20.5,20.5,Approved,No,
RPT-010042,Air Travel,12-10-2024,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Board Meeting,Corporate Card,DEL,CCU,Delhi,Kolkata,1305,6E,IndiGo,6E866,Business,,,,,,32414.38,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,665.55,Approved,Yes,
RPT-010043,Hotel,20-11-2023,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Conference,Corporate Card,,,,,,,,,,Sofitel Gatwick,London,20-11-2023,23-11-2023,,60581.76,INR,Yes,Yes,,20.5,61.5,Rejected,No,
RPT-010044,Ground - Airport Transfer,09-09-2023,EMP-0141,Sanjay Gupta,Strategy,CC-STR-001,CEO,Mumbai,Project Review,Corporate Card,,,,,,,,,,,,,,Airport Transfer,6879.45,INR,Yes,Yes,,0.17,34.68,Pending,No,
RPT-010045,Air Travel,18-05-2023,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Client Meeting,Cash,BOM,CCU,Mumbai,Kolkata,,6E,Air India,6E541,Economy,,,,,,16173.09,INR,Yes,Yes,,,,Rejected,Yes,
RPT-010046,Air Travel,12-02-2023,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Training,Corporate Card,BOM,CCU,Mumbai,Kolkata,1672,6E,Air India,6E740,First,,,,,,67768.1,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,852.72,Approved,Yes,
RPT-010047,Hotel,11-06-2024,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Training,Corporate Card,,,,,,,,,,Lemon Tree Premier,Delhi,11-06-2024,15-06-2024,,33494.04,INR,Yes,Yes,,20.5,82,Approved,Yes,
RPT-010048,Hotel,01-12-2024,EMP-0067,Sunita Reddy,HR,CC-HR-001,Director HR,Hyderabad,Tender Submission,Corporate Card,,,,,,,,,,Radisson Blu,Delhi,01-12-2024,05-12-2024,,50904.04,INR,Yes,Yes,,20.5,82,Approved,No,
RPT-010049,Hotel,02-03-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Audit,Corporate Card,,,,,,,,,,Taj Bengal,Kolkata,02-03-2024,05-03-2024,,53130.69,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,61.5,Approved,Yes,
RPT-010050,Hotel,20-02-2024,EMP-0067,Sunita Reddy,HR,CC-HR-001,Director HR,Hyderabad,Tender Submission,Personal Card,,,,,,,,,,Lemon Tree,Ahmedabad,20-02-2024,24-02-2024,,23229.2,INR,Yes,Yes,,20.5,82,Approved,Yes,
RPT-010051,Hotel,28-08-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Site Visit,Corporate Card,,,,,,,,,,The Imperial Delhi,Delhi,28-08-2024,01-09-2024,,77666.92,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,82,Rejected,Yes,
RPT-010052,Air Travel,30-12-2023,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Project Review,Cash,BOM,DXB,Mumbai,Dubai,1935,EK,Emirates,EK928,Business,,,,,,352787.95,GBP,Yes,Yes,,0.585,2263.95,Approved,Yes,
RPT-010053,Hotel,04-09-2024,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Tender Submission,Cash,,,,,,,,,,Crowne Plaza,Ahmedabad,04-09-2024,06-09-2024,,23250.8,INR,Yes,Yes,,20.5,41,Approved,No,
RPT-010054,Ground - Train/Metro,19-05-2023,EMP-0115,Arun Patel,Sales,CC-SAL-003,Sales Director,Ahmedabad,Tender Submission,Corporate Card,,,,,,,,,,,,,,Train/Metro,3234.11,INR,Yes,Yes,,0.17,23.8,Approved,Yes,
RPT-010055,Ground - Airport Transfer,09-10-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Project Review,Corporate Card,,,,,,,,,,,,,,Airport Transfer,4633.67,INR,Yes,Yes,,,,Rejected,No,
RPT-010056,Ground - Train/Metro,25-04-2023,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Conference,Corporate Card,,,,,,,,,,,,,,Train/Metro,3184.81,INR,No,Yes,,0.17,65.79,Approved,Yes,
RPT-010057,Air Travel,27-03-2023,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Training,Cash,DEL,BLR,Delhi,Bangalore,2082,6E,Air India,6E565,Business,,,,,,42263.05,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,1061.82,Approved,Yes,
RPT-010058,Air Travel,11-05-2023,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Client Meeting,Personal Card,DEL,SIN,Delhi,Singapore,4101,SQ,Singapore Airlines,SQ550,Business,,,,,,315486.67,INR,Yes,Yes,,0.585,2399.09,Approved,Yes,
RPT-010059,Hotel,05-05-2023,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Client Meeting,Corporate Card,,,,,,,,,,Marriott JBR,Dubai,05-05-2023,10-05-2023,,2000.47,USD,Yes,Yes,,20.5,102.5,Rejected,Yes,
RPT-010060,Air Travel,07-01-2024,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Training,Cash,BOM,LHR,Mumbai,London,7189,AI,Air India,AI669,Business,,,,,,427439.43,INR,Yes,Yes,,0.585,8411.13,Approved,Yes,
RPT-010061,Air Travel,20-10-2024,EMP-0193,Suresh Kumar,Sales,CC-SAL-001,Regional Head,Delhi,Training,Corporate Card,DEL,SIN,Delhi,Singapore,4101,SQ,Singapore Airlines,SQ146,Economy,,,,,,66661.69,INR,Yes,Yes,,0.195,1599.39,Approved,Yes,
RPT-010062,Air Travel,12-01-2024,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Project Review,Corporate Card,MAA,HYD,Chennai,Hyderabad,628,6E,Air India,6E363,First,,,,,,56036.66,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,160.14,Pending,Yes,
RPT-010063,Ground - Uber/Ola,10-08-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Client Meeting,Corporate Card,,,,,,,,,,,,,,Uber/Ola,7296.08,INR,Yes,Yes,,,,Pending,Yes,
RPT-010064,Hotel,19-12-2023,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Training,Corporate Card,,,,,,,,,,Lemon Tree,Hyderabad,19-12-2023,24-12-2023,,35152.4,INR,Yes,Yes,,20.5,102.5,Rejected,Yes,
RPT-010065,Hotel,15-07-2023,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Audit,Corporate Card,,,,,,,,,,Sheraton Times Square,New York,15-07-2023,19-07-2023,,156388.36,INR,Yes,Yes,,20.5,82,Approved,Yes,
RPT-010066,Ground - Bus,18-09-2024,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Internal Meeting,Corporate Card,,,,,,,,,,,,,,Bus,4590.99,INR,Yes,Yes,,0.17,40.63,Approved,No,
RPT-010067,Air Travel,30-01-2023,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Conference,Corporate Card,DEL,MAA,Delhi,Chennai,2182,AI,IndiGo,AI268,Economy,,,,,,12342.22,INR,Yes,Yes,,0.255,1112.82,Approved,Yes,
RPT-010068,Ground - Bus,14-09-2024,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Project Review,Corporate Card,,,,,,,,,,,,,,Bus,2824.99,INR,Yes,Yes,,0.17,54.4,Pending,Yes,
RPT-010069,Air Travel,15-05-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Audit,Personal Card,DEL,HYD,Delhi,Hyderabad,1253,AI,SpiceJet,AI922,First,,,,,,52129.68,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,639.03,Rejected,Yes,
RPT-010070,Hotel,17-06-2024,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Client Meeting,Corporate Card,,,,,,,,,,Hilton Singapore,Singapore,17-06-2024,21-06-2024,,1215.73,SGD,Yes,Yes,,20.5,82,Approved,No,
RPT-010071,Air Travel,27-09-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Training,Corporate Card,DEL,AMD,Delhi,Ahmedabad,950,6E,SpiceJet,6E845,Business,,,,,,25625.81,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,484.5,Approved,Yes,
RPT-010072,Hotel,05-04-2024,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Project Review,Corporate Card,,,,,,,,,,The Westin,Chennai,05-04-2024,08-04-2024,,49998.57,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,61.5,Approved,Yes,
RPT-010073,Air Travel,03-05-2023,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Training,Corporate Card,DEL,LHR,Delhi,London,6733,AI,Air India,AI742,Economy,,,,,,71877.05,INR,Yes,Yes,,0.195,2625.87,Approved,Yes,
RPT-010074,Hotel,17-04-2024,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Internal Meeting,Personal Card,,,,,,,,,,Crowne Plaza,Ahmedabad,17-04-2024,20-04-2024,,31371.33,INR,Yes,Yes,,20.5,61.5,Pending,Yes,
RPT-010075,Air Travel,01-06-2023,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Board Meeting,Corporate Card,MAA,HYD,Chennai,Hyderabad,,6E,Air India,6E648,Business,,,,,,33332.43,INR,Yes,No,Domestic business/first not permitted without VP approval,,,Approved,Yes,
RPT-010076,Air Travel,22-09-2024,EMP-0089,Vikram Singh,IT,CC-IT-002,CTO,Delhi,Training,Cash,BOM,DEL,Mumbai,Delhi,,AI,IndiGo,AI238,Economy,,,,,,11472.19,INR,Yes,Yes,,,,Approved,No,
RPT-010077,Hotel,16-04-2023,EMP-0045,Amit Kulkarni,Supply Chain,CC-SCM-001,Manager,Pune,Audit,Personal Card,,,,,,,,,,Taj Bengal,Kolkata,16-04-2023,17-04-2023,,20853.66,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,20.5,Approved,No,
RPT-010078,Hotel,26-04-2023,EMP-0206,Lakshmi Pillai,R&D,CC-RND-001,Scientist,Bangalore,Site Visit,Corporate Card,,,,,,,,,,ITC Gardenia,Bangalore,26-04-2023,28-04-2023,,30837.92,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,41,Rejected,Yes,
RPT-010079,Air Travel,13-03-2023,EMP-0141,Sanjay Gupta,Strategy,CC-STR-001,CEO,Mumbai,Board Meeting,Corporate Card,BOM,HYD,Mumbai,Hyderabad,,AI,IndiGo,AI216,Business,,,,,,48859.06,INR,Yes,No,Domestic business/first not permitted without VP approval,,,Approved,Yes,
RPT-010080,Air Travel,09-11-2023,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Internal Meeting,Corporate Card,BOM,PNQ,Mumbai,Pune,,AI,IndiGo,AI384,Economy,,,,,,17345.29,INR,Yes,Yes,,,,Approved,Yes,
RPT-010081,Air Travel,06-03-2024,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Tender Submission,Corporate Card,BOM,PNQ,Mumbai,Pune,149,AI,IndiGo,AI131,Business,,,,,,44464.61,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,75.99,Approved,No,
RPT-010082,Hotel,03-06-2023,EMP-0023,Priya Nair,Operations,CC-OPS-002,Sr Manager,Chennai,Client Meeting,Corporate Card,,,,,,,,,,The Leela Palace,Bangalore,03-06-2023,06-06-2023,,60184.08,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,61.5,Approved,Yes,
RPT-010083,Hotel,08-04-2024,EMP-0128,Kavitha Menon,Legal,CC-LEG-001,Head Legal,Bangalore,Client Meeting,Corporate Card,,,,,,,,,,The Leela Palace,Bangalore,08-04-2024,11-04-2024,,60992.1,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,61.5,Approved,Yes,
RPT-010084,Hotel,17-06-2024,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Client Meeting,Corporate Card,,,,,,,,,,Marriott Whitefield,Bangalore,17-06-2024,20-06-2024,,40369.98,INR,Yes,Yes,,20.5,61.5,Approved,Yes,
RPT-010085,Ground - Auto Rickshaw,08-03-2023,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Internal Meeting,Corporate Card,,,,,,,,,,,,,,Auto Rickshaw,7701,INR,Yes,Yes,,0.149,3.13,Approved,Yes,
RPT-010086,Air Travel,04-01-2025,EMP-0167,Rohit Joshi,Finance,CC-FIN-002,Analyst,Pune,Audit,Personal Card,DEL,BLR,Delhi,Bangalore,,6E,Air India,6E384,Business,,,,,,33984.41,INR,Yes,No,Domestic business/first not permitted without VP approval,,,Approved,Yes,
RPT-010087,Hotel,03-04-2023,EMP-0011,Rajesh Sharma,Finance,CC-FIN-001,VP Finance,Mumbai,Board Meeting,Personal Card,,,,,,,,,,The Westin,Chennai,03-04-2023,06-04-2023,,45276.66,INR,Yes,No,Hotel rate exceeds INR 15000/night policy cap,20.5,61.5,Approved,Yes,
RPT-010088,Ground - Airport Transfer,25-10-2023,EMP-0219,Nikhil Desai,Procurement,CC-PRO-002,Analyst,Mumbai,Board Meeting,Corporate Card,,,,,,,,,,,,,,Airport Transfer,4955.38,INR,Yes,Yes,,,,Approved,Yes,
RPT-010089,Air Travel,07-10-2024,EMP-0102,Meera Iyer,Procurement,CC-PRO-001,GM Procurement,Mumbai,Audit,Corporate Card,DEL,BLR,Delhi,Bangalore,2082,6E,Air India,6E481,Business,,,,,,21045.98,INR,Yes,No,Domestic business/first not permitted without VP approval,0.255,530.91,Approved,Yes,
